Date,ADANIENT.NS,ADANIPORTS.NS,APOLLOHOSP.NS,ASIANPAINT.NS,AXISBANK.NS,BAJAJ-AUTO.NS,BAJAJFINSV.NS,BAJFINANCE.NS,BHARTIARTL.NS,BPCL.NS,BRITANNIA.NS,CIPLA.NS,COALINDIA.NS,DIVISLAB.NS,DRREDDY.NS,EICHERMOT.NS,GRASIM.NS,HCLTECH.NS,HDFCBANK.NS,HDFCLIFE.NS,HEROMOTOCO.NS,HINDALCO.NS,HINDUNILVR.NS,ICICIBANK.NS,INDUSINDBK.NS,INFY.NS,ITC.NS,JSWSTEEL.NS,KOTAKBANK.NS,LT.NS,M&M.NS,MARUTI.NS,NESTLEIND.NS,NTPC.NS,ONGC.NS,POWERGRID.NS,RELIANCE.NS,SBILIFE.NS,SBIN.NS,SHREECEM.NS,SUNPHARMA.NS,TATAMOTORS.NS,TATASTEEL.NS,TCS.NS,TECHM.NS,TITAN.NS,ULTRACEMCO.NS,UPL.NS,WIPRO.NS
2024-01-31,3139.128418,1196.668701,6328.532227,2897.757324,1066.926636,7605.73584,1626.274048,619.9962769,1164.212036,238.6634064,5131.606445,1339.641235,377.8459778,3648.20874,1217.023071,3797.523682,2166.673828,1510.682861,1442.84729,574.645752,4451.57959,576.0477295,2447.859131,1019.374451,1517.206299,1596.726685,413.3155212,812.2869873,1823.251709,3420.707031,1639.545166,10091.58203,2472.322266,307.6584167,236.0896149,246.471283,1426.625,1395.980713,617.5363159,28398.39063,1397.529175,873.9656372,130.2280273,3678.580811,1297.734985,3685.490723,10107.41016,537.7000122,234.4169312
2024-02-01,3150.61792,1207.766846,6263.782227,2869.836426,1083.413818,7594.03125,1621.227173,609.1916504,1144.820068,241.5614777,5082.446289,1375.983032,378.357666,3633.101318,1191.57373,3890.097656,2120.45166,1512.025269,1446.596069,585.1101685,4418.01123,567.9939575,2440.01709,1016.400024,1524.228394,1593.025513,414.5792542,795.46875,1820.754395,3340.343994,1639.148071,10538.41113,2434.635742,312.0188904,231.784317,252.6497345,1426.650024,1427.464233,624.4299927,29449.8457,1387.18396,868.331604,129.1264191,3715.405518,1277.154541,3615.619141,9863.804688,530.0499878,231.0831909
2024-02-02,3154.564209,1249.979492,6296.256348,2876.645264,1066.227173,7675.816406,1650.45874,618.6773682,1144.422363,265.2686462,5082.693359,1380.94104,390.5447388,3676.833008,1200.789185,3783.627441,2131.26001,1518.111694,1426.668213,576.8383179,4543.808105,580.1741333,2419.30249,1015.259827,1516.909546,1627.922852,411.958252,817.1488647,1820.954102,3318.766357,1648.678223,10555.74707,2448.052734,322.1934509,240.7692871,263.3906555,1457.699951,1430.154175,626.3582764,28296.6543,1395.755737,868.5786743,132.8622589,3823.518555,1302.065063,3600.618164,10039.01563,533.6500244,236.8682251
2024-02-05,3170.549561,1247.105957,6210.537109,2858.080322,1060.681396,7596.510742,1613.881836,596.9866333,1107.378784,273.0601807,5058.65625,1421.844238,409.5696106,3676.932373,1211.714478,3847.321777,2081.750244,1490.888794,1425.385742,561.4406738,4572.078613,576.5946655,2386.651611,1014.764099,1520.915161,1622.010376,410.0393372,808.3181152,1806.370117,3285.048584,1691.167236,10330.96973,2429.604248,325.6818542,246.1041565,268.903717,1439.025024,1414.611816,619.8984985,26805.79492,1442.210449,916.0725098,135.5923309,3830.266357,1296.859131,3540.465332,9857.889648,474,236.4760284
2024-02-06,3200.822021,1261.52356,6173.480469,2871.403564,1049.240234,7658.159668,1596.043091,596.0787354,1127.765259,289.4747009,4942.714844,1413.46521,417.3842163,3703.767578,1226.059448,3901.373047,2058.091064,1556.454102,1424.645752,590.7410278,4607.524902,581.5661621,2393.408691,1017.639343,1494.805054,1662.628052,403.8145447,812.3862305,1785.043579,3366.148438,1715.092041,10743.375,2423.635498,327.0027771,254.8551025,260.6816406,1427.800049,1458.598877,626.9367065,27416.99414,1453.343628,928.6749268,138.5618439,3987.109619,1314.666382,3547.541992,9989.509766,481.8500061,244.957489
2024-02-07,3226.898193,1244.2323,6154.205078,2920.583984,1068.275513,7639.809082,1595.193604,606.1109619,1128.013794,286.0302429,5013.000488,1426.653442,421.1054688,3709.0354,1228.674072,3884.608643,2103.416992,1548.402222,1410.686401,603.098999,4617.061035,588.8742676,2392.520996,1013.425659,1498.711548,1628.307251,404.1890259,830.0974731,1790.637451,3337.100098,1708.490356,10833.375,2466.008545,323.5781555,254.4807587,254.6933594,1442.150024,1464.028687,651.0404663,27960.87305,1474.132446,922.9914551,138.3223572,3936.402832,1282.50647,3564.835449,10166.21191,477.7999878,242.7758484
2024-02-08,3165.704102,1233.877197,6207.050781,2870.081543,1035.101196,7694.712891,1569.559814,594.0460815,1135.820313,294.7957458,4812.904785,1408.259277,427.1990356,3661.924316,1224.757324,3765.577637,2049.424561,1566.087646,1384.148926,589.6945801,4631.075684,597.8726807,2384.234863,980.8560181,1461.079468,1626.721069,393.7411499,815.710144,1727.806274,3278.904297,1673.645508,10643.37012,2390.487305,323.7738037,255.6506805,262.5351868,1450.125,1453.667236,674.4692383,27267.38672,1477.4823,913.6014404,137.6039276,3985.277832,1273.992065,3537.524902,9938.710938,464.8500061,239.6627045
2024-02-09,3212.261475,1259.93811,6412.60791,2891.683105,1050.589233,7722.090332,1569.959473,601.1694336,1114.041626,291.8501587,4907.62207,1427.64502,424.4080811,3630.020264,1223.922241,3798.858643,2160.19873,1563.020264,1384.691406,582.0206909,4728.313477,587.9296265,2391.238525,1002.073364,1469.931152,1604.850098,394.6434631,805.4406128,1740.542236,3268.140381,1634.432617,10632.42285,2417.173584,317.9030151,250.4094391,259.4934998,1460.75,1434.38855,699.2478027,27526.31055,1520.783203,904.4091187,135.3528442,3984.892334,1275.743652,3579.88623,9887.116211,457.9500122,240.447113
2024-02-12,3166.853027,1237.989502,6589.027344,2893.789795,1045.892822,7766.827148,1556.268188,593.4588623,1112.500244,280.519165,4906.338867,1422.687012,402.6387939,3717.334229,1259.243042,3829.420166,2139.129883,1597.863647,1371.274658,575.2437134,4515.104004,579.130127,2353.260986,987.5979614,1431.260498,1615.184814,386.4277039,805.1925659,1707.678345,3243.564453,1648.380371,10609.49023,2426.003418,309.3414612,241.377655,256.927063,1452.349976,1430.702148,682.5198975,27163.08008,1520.436279,901.0484009,131.6169891,3972.360596,1283.284912,3573.556885,9905.109375,458.3999939,245.8399658
2024-02-13,3175.545166,1253.299072,6693.075684,2911.228027,1069.924316,7853.571777,1567.011353,596.5755615,1111.654907,277.5973206,4917.592285,1445.493652,420.826416,3677.876465,1259.61084,3811.963379,2056.248047,1596.569702,1375.664673,587.5518799,4570.296387,507.1925049,2361.498047,1011.095642,1447.826538,1619.462891,386.3327026,806.3336792,1735.248169,3265.141846,1634.780029,10693.49609,2424.326416,314.6251831,242.8751526,256.8795471,1465.099976,1462.185547,687.8709106,27147.28906,1528.115479,896.4028931,132.0480499,4000.123291,1292.674927,3548.339355,9794.317383,479.1000061,250.8160706
2024-02-14,3204.268555,1256.321289,6728.140137,2915.930664,1096.00415,8018.134277,1578.703979,600.4467163,1109.666016,296.2922974,4946.268555,1413.366089,433.8507385,3696.959473,1244.301514,3858.794678,2071.838379,1602.225098,1365.404785,583.3660889,4636.999512,504.9055786,2355.530029,1013.970947,1465.233276,1601.821777,390.8917542,806.9289551,1747.035156,3252.854004,1645.005249,10924.76172,2453.577881,320.9362793,251.6261597,260.1113281,1481.375,1448.336792,716.7471313,26797.4082,1506.514648,907.6708984,135.2570496,3952.501709,1258.082397,3573.855957,9730.097656,481.3999939,252.2378235
2024-02-15,3190.881104,1255.528687,6602.126465,2955.264893,1071.373169,8057.563477,1568.410522,597.9984131,1114.489136,310.1175232,4886.940918,1410.391235,443.618988,3686.225342,1243.168213,3873.630371,2076.819092,1593.646118,1395.000732,583.1169434,4639.793457,510.2748413,2318.933838,1007.972595,1460.733154,1611.579712,383.6257629,806.0359497,1737.345825,3244.301514,1752.220215,10986.47852,2427.409424,331.9440002,259.53479,272.1915588,1470.599976,1447.988281,734.3909912,26233.98438,1496.110596,909.8948364,135.2570496,3955.490479,1265.331665,3610.236816,9756.441406,487.3500061,254.1988525
2024-02-16,3220.653809,1294.966675,6575.179688,2946.790527,1067.925781,8257.935547,1574.906372,597.9804077,1113.793091,310.9964294,4850.564941,1428.586914,446.5494995,3706.451172,1255.99231,3885.597656,2097.589355,1598.342896,1400.771851,590.4420776,4714.29834,512.7605591,2343.002441,1014.516235,1477.249878,1635.9021,384.2906494,813.5769043,1733.35022,3329.284668,1822.207764,11273.91406,2461.145996,330.4763184,260.8642883,265.3299866,1460.574951,1502.884888,727.6419067,26199.21484,1496.160034,927.7359619,136.3107605,3979.686523,1267.472534,3643.478027,9857.741211,490.8999939,266.2101746
2024-02-19,3255.821533,1295.115356,6631.562988,2937.189941,1062.130249,8441.09668,1619.12854,606.4362793,1135.869995,310.0224915,4861.966309,1457.987671,428.8735962,3700.736328,1275.874634,3860.080566,2160.29834,1605.819824,1398.009521,583.2166138,4674.132324,509.3799438,2354.740723,1034.841309,1467.310181,1634.075684,388.7072144,813.8249512,1729.504517,3283.180908,1835.113281,11375.90039,2486.473389,331.4547729,260.816803,267.0695496,1474,1483.357178,732.0288086,26714.57031,1516.126099,921.8053589,135.9754944,3956.068359,1274.721802,3682.998779,9843.823242,497.5499878,262.7538757
2024-02-20,3225.649414,1288.674438,6739.544434,2950.464355,1087.760498,8228.326172,1601.839355,611.0255127,1137.610229,312.4217224,4857.918945,1439.444946,420.1690674,3690.101563,1267.692993,3786.149658,2183.85791,1594.125244,1434.708496,585.9573364,4491.842285,508.68396,2371.460938,1039.798584,1487.68396,1620.135742,385.7153625,814.8171997,1760.570435,3299.793945,1840.176147,11339.3457,2512.344727,338.2550964,262.6685791,278.2316589,1471.025024,1507.966064,732.8483276,26425.26367,1524.647461,915.6276855,135.1133728,3885.551758,1284.987793,3674.676025,9920.121094,498.0499878,260.7928467
2024-02-21,3220.25415,1279.260864,6740.241699,2940.814453,1083.363892,8165.883301,1585.949341,604.2681274,1133.582764,300.8294373,4859.745117,1435.131592,407.4181519,3626.839844,1262.354614,3794.309326,2185.601074,1568.484009,1419.762573,575.4929199,4391.611328,508.882782,2374.420166,1042.971191,1500.59082,1591.583374,383.1033936,821.8123779,1744.188354,3240.467773,1846.132568,11358.56348,2516.500244,328.8618469,259.2024231,270.693634,1467.699951,1496.159668,743.8395996,26246.03906,1529.304565,910.3890381,137.843399,3847.811279,1261.682739,3644.425049,9909.633789,492.1499939,255.6206207
2024-02-22,3260.067871,1299.029297,6749.265625,2956.097412,1100.051025,8429.9375,1591.545898,603.0168457,1129.256958,297.3612671,4893.259277,1441.081177,418.8986816,3623.162354,1265.297241,3908.098389,2192.773438,1616.507446,1400.426636,572.7023926,4353.165527,518.1795654,2355.677979,1053.629517,1472.799316,1616.386475,393.6462097,822.2092896,1722.861694,3306.675049,1896.463989,11548.71777,2535.841797,332.2375488,260.8642883,273.1096497,1481.75,1504.080566,738.4403687,26503.41797,1543.820801,921.5088501,139.7592316,3939.969971,1292.334351,3640.13916,9902.475586,492.2999878,260.351593
2024-02-23,3270.30835,1308.690796,6754.101074,2925.286377,1095.954224,8368.933594,1615.530762,605.0856323,1119.51123,293.584259,4872.923828,1454.070923,417.7223816,3625.845947,1280.845215,3884.015381,2185.999512,1596.713501,1401.462402,578.7318726,4376.503906,515.3954468,2361.59668,1052.241455,1464.046509,1612.060303,390.7492981,814.6187134,1722.112549,3330.464355,1915.921387,11427.66113,2551.522949,330.4763184,258.4902039,272.4815063,1493.625,1523.508545,731.8359375,26390.14453,1546.991577,926.5498657,139.3281708,3906.229736,1286.641968,3679.908936,9941.942383,488.7000122,262.8519287
2024-02-26,3324.708496,1325.982056,6564.610352,2810.173584,1084.363037,8379.894531,1613.282227,600.1530762,1103.898193,297.9551086,4838.916016,1457.491943,416.2167664,3555.527588,1280.566772,3909.631348,2178.52832,1581.424561,1403.139526,574.3966064,4354.085449,502.1712646,2371.608643,1045.202026,1450.397949,1596.005737,388.659729,802.4639282,1704.432007,3411.269531,1915.772583,11359.70313,2556.370605,330.3295288,256.2585754,278.1350098,1487.324951,1543.434692,731.6914063,26001.6582,1542.730835,926.1051025,136.6460114,3857.017334,1263.28833,3610.685303,9871.508789,489.1499939,261.2585754
2024-02-27,3299.281738,1317.361206,6601.102539,2801.45459,1078.217896,8395.269531,1599.59082,592.2935181,1121.251465,296.957428,4841.334961,1474.943848,415.369812,3518.206543,1282.326416,3958.885742,2196.359863,1590.051514,1401.018555,579.6287842,4290.121582,506.7450562,2372.644531,1051.150757,1476.656494,1599.322266,390.5118103,812.5846558,1704.88147,3446.953613,1936.421387,11393.03906,2571.012939,328.8618469,255.7837372,282.6771851,1485.650024,1537.008545,722.9658203,26092.91602,1568.295166,951.5570068,138.1307831,3956.646729,1261.147583,3641.93335,9892.43457,484.6000061,260.547699
2024-02-28,3216.058105,1287.683472,6343.613281,2737.579102,1073.371582,8122.634766,1583.500977,587.0943604,1122.494507,289.4747009,4824.99707,1464.581787,408.5944519,3496.887451,1278.041748,3821.408936,2177.631836,1583.4375,1390.41333,578.6322021,4236.858398,501.5249634,2388.673828,1037.270264,1433.287842,1606.676758,387.8049011,792.3928223,1681.756714,3411.318848,1887.827271,11048.44336,2543.509277,326.1221008,252.3650513,270.1620483,1455.625,1534.5177,715.8793335,25510.21094,1559.476563,946.9608154,134.8259888,3970.673828,1251.22229,3582.976074,9747.146484,475.8999939,253.8066559
